               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 133,            0.014301,           0.0064699,           0.0025842,             0.98363,             0.98701,             0.98911,             0.90085,           0.0081156,           0.0028632,          0.00089382,            0.003466,            0.003466,            0.003466
                 134,             0.01725,           0.0068064,           0.0026773,             0.98453,             0.98608,             0.98914,             0.90387,           0.0080715,           0.0027305,          0.00090635,           0.0034165,           0.0034165,           0.0034165
                 135,            0.016167,           0.0065182,           0.0022488,               0.988,              0.9843,             0.98937,              0.9063,           0.0078792,           0.0027106,          0.00086585,            0.003367,            0.003367,            0.003367
                 136,            0.015136,           0.0063986,              0.0018,             0.97966,             0.98817,             0.98969,             0.90022,           0.0079657,           0.0027696,          0.00079323,           0.0033175,           0.0033175,           0.0033175
                 137,            0.015176,           0.0063222,           0.0016715,             0.98159,             0.98654,             0.98912,             0.90171,           0.0080602,           0.0028254,          0.00078194,            0.003268,            0.003268,            0.003268
                 138,            0.016554,           0.0067364,            0.003083,             0.98448,             0.97729,              0.9879,             0.89638,           0.0084001,           0.0029079,           0.0007817,           0.0032185,           0.0032185,           0.0032185
                 139,            0.015186,           0.0067256,           0.0024402,             0.99099,             0.97302,             0.98717,             0.89702,           0.0083793,            0.002987,          0.00079596,            0.003169,            0.003169,            0.003169
                 140,             0.01565,           0.0064074,           0.0017837,             0.98775,             0.98227,             0.98873,              0.8992,            0.008278,           0.0029065,          0.00075321,           0.0031195,           0.0031195,           0.0031195
                 141,            0.015803,            0.006671,           0.0018014,             0.98692,             0.98569,             0.98902,             0.90905,           0.0080168,           0.0028426,          0.00095933,             0.00307,             0.00307,             0.00307
                 142,            0.016409,           0.0063284,           0.0014348,             0.97857,             0.98404,              0.9885,             0.90298,           0.0078308,           0.0028178,           0.0014545,           0.0030205,           0.0030205,           0.0030205
                 143,            0.015308,             0.00666,           0.0010545,             0.98232,             0.97607,             0.98768,             0.90392,           0.0079386,           0.0028922,            0.001596,            0.002971,            0.002971,            0.002971
                 144,            0.016065,            0.006301,           0.0017836,              0.9823,             0.98534,             0.98696,             0.90332,           0.0079165,           0.0029216,           0.0014783,           0.0029215,           0.0029215,           0.0029215
                 145,            0.015849,           0.0065278,           0.0019001,             0.98266,             0.98304,             0.98702,             0.90203,           0.0077717,           0.0028166,           0.0014532,            0.002872,            0.002872,            0.002872
                 146,            0.015018,           0.0067129,           0.0012329,             0.98276,             0.98082,             0.98841,             0.90483,           0.0084143,            0.002842,           0.0011509,           0.0028225,           0.0028225,           0.0028225
                 147,            0.016088,           0.0062754,           0.0014032,             0.97914,             0.98121,             0.98828,             0.90882,           0.0077436,           0.0028731,           0.0010131,            0.002773,            0.002773,            0.002773
                 148,            0.014015,           0.0062595,           0.0014702,             0.97558,             0.97914,             0.98921,             0.90277,           0.0078496,           0.0029266,           0.0010111,           0.0027235,           0.0027235,           0.0027235
                 149,            0.014744,           0.0064434,           0.0016294,             0.97962,             0.98504,             0.98931,             0.89736,           0.0078682,           0.0029254,            0.001028,            0.002674,            0.002674,            0.002674
